# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"185 ","Herbert, Pierre-Hugues","$307,984 ","$296,037 ","$11,947","$9,537,783"
"186 ","Nadal, Rafael","$305,379 ","$301,661 ","$3,718","$134,946,100"
"187 ","Schoolkate, Tristan","$304,508 ","$269,561 ","$34,947","$520,742"
"188 ","Cash, Julian","$304,022 ","$0 ","$304,022","$530,814"
"189 ","Erler, Alexander","$299,132 ","$1,844 ","$297,288","$870,997"
"190 ","Dzumhur, Damir","$295,017 ","$292,448 ","$2,569","$5,170,863"
"191 ","Matos, Rafael","$292,387 ","$0 ","$292,387","$946,055"
"192 ","Choinski, Jan","$291,057 ","$290,019 ","$1,038","$747,658"
"193 ","Nava, Emilio","$286,000 ","$241,977 ","$44,023","$931,274"
"194 ","Burruchaga, Roman Andres","$282,912 ","$278,834 ","$4,078","$411,775"
"195 ","Fearnley, Jacob","$281,762 ","$269,205 ","$12,557","$312,627"
"196 ","Thiem, Dominic","$275,392 ","$270,952 ","$4,440","$30,333,255"
"197 ","Krueger, Mitchell","$271,255 ","$252,373 ","$18,882","$1,496,536"
"198 ","Kypson, Patrick","$271,236 ","$269,077 ","$2,159","$540,532"
"199 ","Harris, Lloyd","$268,271 ","$265,184 ","$3,087","$4,069,356"
"200 ","Schwartzman, Diego","$263,718 ","$261,218 ","$2,500","$14,179,005"
"201 ","Fonseca, Joao","$260,372 ","$253,093 ","$7,279","$292,146"
"202 ","Vacherot, Valentin","$258,826 ","$251,280 ","$7,546","$385,422"
"203 ","Passaro, Francesco","$258,282 ","$246,883 ","$11,399","$787,371"
"204 ","Miedler, Lucas","$257,729 ","$3,416 ","$254,313","$1,024,580"
"205 ","Zapata Miralles, Bernabe","$256,635 ","$245,503 ","$11,132","$2,486,159"
"206 ","Ajdukovic, Duje","$251,741 ","$249,572 ","$2,169","$490,381"
"207 ","Cressy, Maxime","$250,019 ","$249,479 ",$540,"$2,863,880"
"208 ","Squire, Henri","$246,405 ","$246,136 ",$269,"$367,341"
"209 ","Tu, Li","$243,930 ","$235,848 ","$8,082","$568,525"
"210 ","Raonic, Milos","$243,119 ","$243,119 ",$0,"$20,753,024"
"211 ","Skatov, Timofey","$242,920 ","$237,580 ","$5,340","$782,623"
"212 ","Napolitano, Stefano","$242,645 ","$239,183 ","$3,462","$851,485"
"213 ","Trungelliti, Marco","$242,162 ","$241,257 ",$905,"$1,822,198"
"214 ","Opelka, Reilly","$236,175 ","$236,175 ",$0,"$4,462,345"
"215 ","Zhukayev, Beibit","$232,556 ","$225,998 ","$6,558","$395,794"
"216 ","Shelbayh, Abdullah","$232,304 ","$203,305 ","$28,999","$569,005"
"217 ","Rodionov, Jurij","$232,238 ","$222,121 ","$10,117","$1,233,044"
"218 ","Hassan, Benjamin","$229,446 ","$199,827 ","$29,619","$412,248"
"219 ","Barrientos, Nicolas","$227,545 ","$0 ","$227,545","$700,421"
"220 ","Bolt, Alex","$225,359 ","$205,964 ","$19,395","$1,768,295"
"Page 5 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"221 ","Varillas, Juan Pablo","$225,310 ","$221,525 ","$3,785","$1,629,996"
"222 ","Bhambri, Yuki","$221,422 ","$0 ","$221,422","$1,460,851"
"223 ","Olivetti, Albano","$220,267 ","$430 ","$219,837","$945,546"
"224 ","Dellien, Hugo","$219,049 ","$214,194 ","$4,855","$2,328,199"
"225 ","Wong, Coleman","$218,639 ","$213,539 ","$5,100","$273,597"
"226 ","Ritschard, Alexander","$218,099 ","$215,985 ","$2,114","$683,520"
"227 ","Heide, Gustavo","$216,519 ","$212,730 ","$3,789","$321,195"
